time:2021-04-20 11:46:22,206, called:dragEnterEvent — file's url = PyQt5.QtCore.QUrl('file:///C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf') was added
time:2021-04-20 11:46:49,001, called:dragEnterEvent — file's url = PyQt5.QtCore.QUrl('file:///C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf') was added
time:2021-04-20 11:46:49,319, called:dropEvent — file's url = C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf was added
time:2021-04-20 11:48:25,970, called:dragEnterEvent — file's url = PyQt5.QtCore.QUrl('file:///C:/Users/User_pc/Desktop/Planets (òåñò).pdf') was added
time:2021-04-20 11:49:02,434, called:dragEnterEvent — file's url = PyQt5.QtCore.QUrl('file:///C:/Users/User_pc/Desktop/Planets (òåñò).pdf') was added
time:2021-04-20 11:50:09,995, called:dragEnterEvent — file's url = PyQt5.QtCore.QUrl('file:///C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf') was added
time:2021-04-20 11:50:10,385, called:dropEvent — file's url = C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf was added
time:2021-04-20 11:50:10,385, called:dropEvent — file's url = C:/Users/User_pc/Desktop/Êàëüêóëÿòîğ Èíòåãğàëîâ • Ïî øàãàì!.pdf was added
time:2021-04-20 11:50:10,385, called:dropEvent — file's url = C:/Users/User_pc/Desktop/Êîììåíòàğèé 2.pdf was added
time:2021-04-20 11:50:10,385, called:dropEvent — file's url = C:/Users/User_pc/Desktop/Planets (òåñò).pdf was added
time:2021-04-20 11:50:18,172, called:dragEnterEvent — file's url = PyQt5.QtCore.QUrl('file:///C:/Users/User_pc/Desktop/Êàëüêóëÿòîğ Èíòåãğàëîâ • Ïî øàãàì!.pdf') was added
time:2021-04-20 11:50:18,801, called:dropEvent — file's url = C:/Users/User_pc/Desktop/Êàëüêóëÿòîğ Èíòåãğàëîâ • Ïî øàãàì!.pdf was declined
time:2021-04-20 11:50:18,801, called:dropEvent — file's url = C:/Users/User_pc/Desktop/Êîììåíòàğèé 2.pdf was declined
time:2021-04-20 11:50:18,801, called:dropEvent — file's url = C:/Users/User_pc/Desktop/Planets (òåñò).pdf was declined
time:2021-04-20 11:50:18,801, called:dropEvent — file's url = C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf was declined
time:2021-04-20 16:52:29,448, called:addFile — Directory E:/Íàïèñàí³ ïğîãğàìè/Python/BookReaderProject/books/FB2/The-Art-of-War.fb2 was added to list.
time:2021-04-20 21:33:39,820, called:addFile — Directory C:/Users/User_pc/Desktop/ÄÈÔÔÅĞÅÍÖÈÀËÜÍÀß ÃÅÎÌÅÒĞÈß. ÁÀÇÎÂÛÉ ÊÓĞÑ ËÅÊÖÈÉ..pdf was added to list.
time:2021-04-20 21:33:39,820, called:addFile — Directory C:/Users/User_pc/Desktop/Êàëüêóëÿòîğ Èíòåãğàëîâ • Ïî øàãàì!.pdf was added to list.
time:2021-04-20 21:38:26,609, called:deleteFile — Deleted item in table with row = 3, column = 0
time:2021-04-20 21:38:26,609, called:deleteFile — Deleted item in table with row = 3, column = 0
time:2021-04-20 21:38:26,609, called:deleteFile — Deleted item in table with row = 3, column = 0
time:2021-04-20 21:38:26,610, called:deleteFile — Deleted item in table with row = 3, column = 0
time:2021-04-20 21:38:26,610, called:deleteFile — Deleted item in table with row = 3, column = 0
time:2021-04-20 21:38:26,610, called:deleteFile — Deleted item in table with row = 3, column = 0
time:2021-04-20 21:38:36,084, called:deleteFile — Deleted item in table with row = 5, column = 0
time:2021-04-20 21:38:38,941, called:deleteFile — Deleted item in table with row = 5, column = 0
time:2021-04-20 21:38:51,705, called:deleteFile — Deleted item in table with row = 6, column = 0
time:2021-04-20 21:38:54,153, called:deleteFile — Deleted item in table with row = 4, column = 0
time:2021-04-20 21:38:56,277, called:deleteFile — Deleted item in table with row = 8, column = 0
time:2021-04-20 21:39:01,908, called:deleteFile — Deleted item in table with row = 2, column = 0
time:2021-04-20 21:39:25,857, called:deleteFile — Deleted item in table with row = 4, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,497, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,498, called:deleteFile — Deleted item in table with row = 0, column = 0
time:2021-04-20 21:39:28,499, called:deleteFile — Deleted item in table with row = 0, column = 0
